Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
---+--------------------------------------------+---------+----------------------------------------+--------+---------------------------------------
i+ | 7zip                                       | package | 24.09-1.1                              | x86_64 | Main Repository (OSS)
i  | aaa_base                                   | package | 84.87+git20240906.742565b-1.1          | x86_64 | Main Repository (OSS)
i  | aaa_base-extras                            | package | 84.87+git20240906.742565b-1.1          | x86_64 | Main Repository (OSS)
i  | accountsservice                            | package | 23.13.9-10.1                           | x86_64 | Main Repository (OSS)
i  | acl                                        | package | 2.3.2-2.1                              | x86_64 | Main Repository (OSS)
i  | acpica                                     | package | 20240927-1.1                           | x86_64 | Main Repository (OSS)
i  | adobe-sourcecodepro-fonts                  | package | 2.038-1.7                              | noarch | Main Repository (OSS)
i  | adobe-sourcesans3-fonts                    | package | 3.052-1.3                              | noarch | Main Repository (OSS)
i  | adobe-sourcesanspro-fonts                  | package | 2.045-2.10                             | noarch | Main Repository (OSS)
i  | adobe-sourceserifpro-fonts                 | package | 3.000-2.10                             | noarch | Main Repository (OSS)
i  | adwaita-icon-theme                         | package | 47.0-1.1                               | noarch | Main Repository (OSS)
i  | adwaita-xfce-icon-theme                    | package | 0.0.4+git0.b33d65a-1.1                 | noarch | Main Repository (OSS)
i+ | alacritty                                  | package | 0.14.0-1.1                             | x86_64 | Main Repository (OSS)
i  | alacritty-bash-completion                  | package | 0.14.0-1.1                             | noarch | Main Repository (OSS)
i  | alacritty-fish-completion                  | package | 0.14.0-1.1                             | noarch | Main Repository (OSS)
i  | alsa-oss-32bit                             | package | 1.1.8-5.6                              | x86_64 | Main Repository (OSS)
i  | alsa-plugins                               | package | 1.2.12-1.3                             | x86_64 | Main Repository (OSS)
i  | alsa-plugins-speexrate                     | package | 1.2.12-1.3                             | x86_64 | Main Repository (OSS)
i  | alsa-plugins-upmix                         | package | 1.2.12-1.3                             | x86_64 | Main Repository (OSS)
