
Name              Version      Source Updated             Info
----              -------      ------ -------             ----
7zip              26.00        main   2026-02-24 20:09:22 
adb               37.0.0       main   2026-03-27 12:49:08 
bat               0.26.1       main   2025-12-21 22:59:17 
btop              1.0.5        main   2026-04-08 15:41:47 
clangd            22.1.0       main   2026-04-07 12:24:34 
claude            1.1348.0     extras 2026-04-08 20:47:19 
claude-code       2.1.97       main   2026-04-09 01:25:20 
cmake             4.3.1        main   2026-04-09 11:56:32 
curl              8.19.0_6     main   2026-04-07 18:18:13 
dark              3.14.1       main   2026-04-07 18:18:18 
fastfetch         2.61.0       main   2026-03-28 23:01:06 
ffmpeg            8.1          main   2026-03-18 09:57:11 
gcc               15.2.0       main   2026-04-07 12:25:23 
gh                2.89.0       main   2026-03-27 12:49:32 
git               2.53.0.2     main   2026-03-14 22:04:53 
glazewm           3.10.1       extras 2026-04-08 15:49:36 
helix             25.07.1      main   2025-07-19 14:14:23 
imagemagick       7.1.2-18     main   2026-03-23 20:39:39 
innounp           2.67.7       main   2026-04-08 11:59:32 
keypirinha        2.26         extras 2026-04-08 16:00:17 
less              692          main   2026-02-24 20:14:48 
lf                r41          main   2026-04-08 15:42:22 
make              4.4.1        main   2026-04-09 11:55:48 
meld              3.22.2       extras 2025-05-15 15:14:18 
memreduct         3.5.2        extras 2025-05-15 15:14:19 
nmap              7.99         main   2026-03-27 12:58:07 
nodejs            25.9.0       main   2026-04-02 18:39:27 
nvm               1.2.2        main   2026-01-24 14:24:28 
prismlauncher     11.0.0       games  2026-04-09 01:25:23 
pwsh              7.6.0        main   2026-04-08 16:07:21 
python            3.14.4       main   2026-04-07 18:19:01 
qalculate         5.10.0       extras 2026-03-30 23:18:06 
qemu              10.2.0       main   2026-04-06 19:09:55 
rufus             4.13         extras 2026-02-24 20:16:36 
rustup            1.29.0       main   2026-04-06 19:18:18 
scoop-search      2.1.0        main   2025-06-02 20:01:04 
slack             4.49.81      extras 2026-03-28 23:01:19 
smartmontools     7.5          main   2025-05-15 15:20:26 
standardnotes     3.201.21     extras 2026-03-18 09:58:08 
tor-browser       15.0.9       extras 2026-04-07 18:19:14 
typst             0.14.2       main   2025-12-21 23:07:32 
uutils-coreutils  0.8.0        main   2026-04-06 23:46:38 
uv                0.11.6       main   2026-04-09 11:49:43 
vencord-installer 1.4.0        extras 2026-01-02 15:42:39 
vlc               3.0.23       extras 2026-01-09 19:18:37 
wget              1.21.4       main   2025-09-25 21:51:00 
winscp            6.5.6        extras 2026-03-25 16:32:39 
wireshark         4.6.4        extras 2026-02-27 21:47:01 
wiztree           4.31         extras 2026-03-23 20:39:43 
xmake             3.0.8        main   2026-04-09 11:56:42 
youtube-music     3.11.0       extras 2025-09-18 19:37:48 
zoom              6.6.11.23272 extras 2025-12-21 23:08:56 

